station_id,name,address,rental_uris,lat,lon,capacity
1028,Hunter Square,"122 High Street, Edinburgh, EH1 1SG","{'android': 'edinburghcyclehire://stations/1028', 'ios': 'edinburghcyclehire://stations/1028'}",55.949797565633276,-3.1877950320129003,23
1025,Dundee Terrace,"3 Dundee Terrace, edinburgh, EH11BY","{'android': 'edinburghcyclehire://stations/1025', 'ios': 'edinburghcyclehire://stations/1025'}",55.93970989541296,-3.2205889336679547,25
1024,Meadow Place,"Meadow Place, edinburgh, EH91JZ","{'android': 'edinburghcyclehire://stations/1024', 'ios': 'edinburghcyclehire://stations/1024'}",55.940237631689435,-3.194640214184801,29
1019,Grassmarket,"outside 86-88 Grassmarket, Edinburgh, EH1 2JR","{'android': 'edinburghcyclehire://stations/1019', 'ios': 'edinburghcyclehire://stations/1019'}",55.947097278583385,-3.1972457326126005,14
1017,Crichton Street,"Crichton Street, Edinburgh, EH8 9LE","{'android': 'edinburghcyclehire://stations/1017', 'ios': 'edinburghcyclehire://stations/1017'}",55.94478427951007,-3.186906245433761,33
358,Leith Walk,Leith Walk,"{'android': 'edinburghcyclehire://stations/358', 'ios': 'edinburghcyclehire://stations/358'}",55.96517649040763,-3.1761801702076298,23
349,Orchard Brae House,30 Queensferry Road,"{'android': 'edinburghcyclehire://stations/349', 'ios': 'edinburghcyclehire://stations/349'}",55.95508276879095,-3.2236342639564555,17
296,Castle Terrace,Lady Lawson Street,"{'android': 'edinburghcyclehire://stations/296', 'ios': 'edinburghcyclehire://stations/296'}",55.94676648672239,-3.2020378290551434,26
289,Castle Street,Castle Street,"{'android': 'edinburghcyclehire://stations/289', 'ios': 'edinburghcyclehire://stations/289'}",55.951500737349754,-3.2031839065252825,38
265,Meadows East,"Sciennes, Edinburgh EH9 1NH","{'android': 'edinburghcyclehire://stations/265', 'ios': 'edinburghcyclehire://stations/265'}",55.939809466328285,-3.182738850746432,39
264,Pollock Halls,18 Holyrood Park Road,"{'android': 'edinburghcyclehire://stations/264', 'ios': 'edinburghcyclehire://stations/264'}",55.94008064125911,-3.171746866852459,42
262,Canonmills,Broughton Road,"{'android': 'edinburghcyclehire://stations/262', 'ios': 'edinburghcyclehire://stations/262'}",55.96280408759764,-3.196283585062929,28
260,Lauriston Place,Lauriston Place,"{'android': 'edinburghcyclehire://stations/260', 'ios': 'edinburghcyclehire://stations/260'}",55.944771652335476,-3.1972658564195626,24
259,St Andrew Square,St Andrew Square,"{'android': 'edinburghcyclehire://stations/259', 'ios': 'edinburghcyclehire://stations/259'}",55.95490573198223,-3.192443756949956,22
258,Stockbridge,"1, Dean Bank Lane","{'android': 'edinburghcyclehire://stations/258', 'ios': 'edinburghcyclehire://stations/258'}",55.95856558589723,-3.2080701822277433,21
256,St Andrews House,Regent Road,"{'android': 'edinburghcyclehire://stations/256', 'ios': 'edinburghcyclehire://stations/256'}",55.95316433242384,-3.181682340931843,18
254,Kings Building 3,James Dewar Road,"{'android': 'edinburghcyclehire://stations/254', 'ios': 'edinburghcyclehire://stations/254'}",55.923478807846635,-3.1753845849070785,26
253,Kings Building 2,Entrance to Sanderson Building,"{'android': 'edinburghcyclehire://stations/253', 'ios': 'edinburghcyclehire://stations/253'}",55.92320215516664,-3.1716462453634904,20
252,Kings Buildings 1,James Hutton Road,"{'android': 'edinburghcyclehire://stations/252', 'ios': 'edinburghcyclehire://stations/252'}",55.92418540667696,-3.173830830087809,12
251,Waverley Station,Waverley Station Concourse,"{'android': 'edinburghcyclehire://stations/251', 'ios': 'edinburghcyclehire://stations/251'}",55.952641035774384,-3.187526919462357,19
250,Victoria Quay,Entrance to Scottish Government Office,"{'android': 'edinburghcyclehire://stations/250', 'ios': 'edinburghcyclehire://stations/250'}",55.977617152546344,-3.1741263194576277,44
249,Fountainbridge,116 Fountainbridge,"{'android': 'edinburghcyclehire://stations/249', 'ios': 'edinburghcyclehire://stations/249'}",55.94335692764551,-3.2092475016246453,28
248,Bristo Square,"Bristo Square, Potterrow","{'android': 'edinburghcyclehire://stations/248', 'ios': 'edinburghcyclehire://stations/248'}",55.94583371599285,-3.189053072075467,62
247,Charlotte Square,Charlotte Square,"{'android': 'edinburghcyclehire://stations/247', 'ios': 'edinburghcyclehire://stations/247'}",55.95233546161639,-3.2071011721072864,39
246,Royal Commonwealth Pool,"Dalkeith Road, Edinburgh EH16 5BB","{'android': 'edinburghcyclehire://stations/246', 'ios': 'edinburghcyclehire://stations/246'}",55.939000247888764,-3.173923554315593,20
225,Waverley Court,"Waverley Court, East Market Street","{'android': 'edinburghcyclehire://stations/225', 'ios': 'edinburghcyclehire://stations/225'}",55.95173449698344,-3.1841785354060903,13
189,City Chambers,High Street,"{'android': 'edinburghcyclehire://stations/189', 'ios': 'edinburghcyclehire://stations/189'}",55.95010933017899,-3.190257770093808,17
183,Waverley Bridge,Waverley Bridge,"{'android': 'edinburghcyclehire://stations/183', 'ios': 'edinburghcyclehire://stations/183'}",55.951980756193535,-3.1918903325579038,31
